Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Guerra, Carlos António; Rosa, Isabel; Pereira, Henrique M; ",Change versus stability: are protected areas particularly pressured by global land cover change?,Landscape Ecology,34,12,2779-2790,2019,Springer Netherlands

"Visconti, Piero; Elias, VV; Sousa, Pinto I; Fischer, Markus; Ali-Zade, Valida; Báldi, András; Brucet, Sandra; Bukvareva, EN; Byrne, Kenneth; Caplat, Paul; ","Status, trends and future dynamics of biodiversity and ecosystems underpinning nature's contributions to people",The IPBES regional assessment report on biodiversity and ecosystem services for Europe and Central Asia,,,187-384,2018,

"Thakur, Madhav P; Phillips, Helen RP; Brose, Ulrich; De Vries, Franciska T; Lavelle, Patrick; Loreau, Michel; Mathieu, Jerome; Mulder, Christian; Van der Putten, Wim H; Rillig, Matthias C; ",Towards an integrative understanding of soil biodiversity,Biological Reviews,95,2,350-364,2020,"Blackwell Publishing Ltd Oxford, UK"

"Leberger, Roxanne; Rosa, Isabel MD; Guerra, Carlos A; Wolf, Florian; Pereira, Henrique M; ",Global patterns of forest loss across IUCN categories of protected areas,Biological Conservation,241,,108299,2020,Elsevier

"Barbosa, Ana; Lavalle, Carlo; Vandecasteele, Ine; Vizcaino, Pilar; Vallecillo, Sara; Perpiña, Carolina; i Rivero, Ines Mari; Guerra, Carlos; Baranzelli, Claudia; Jacobs-Crisioni, Chris; ",Evaluation of the status of natural resources in the updated Reference Configuration 2014 of the LUISA modelling platform,,,,,2014,

"Díaz, Sandra; Pascual, Unai; Stenseke, Marie; Martín-López, Berta; Watson, Robert T; Molnár, Zsolt; Hill, Rosemary; Chan, Kai MA; Baste, Ivar A; Brauman, Kate A; ","RE: Shifts, drifts and options-A response to Faith",,,,,2018,

"Rosa, Isabel MD; Purvis, Andy; Alkemade, Rob; Chaplin-Kramer, Rebecca; Ferrier, Simon; Guerra, Carlos A; Hurtt, George; Kim, HyeJin; Leadley, Paul; Martins, Inês S; ",Challenges in producing policy-relevant global scenarios of biodiversity and ecosystem services,Global Ecology and Conservation,22,,e00886,2020,Elsevier

"DE RISCOS, PROTECÇÃO CIVIL E GESTÃO; MINHO, NO ALTO; ",PROTEC| GEORISK,,,,,,

"Guerra, Carlos A; Rosa, Isabel MD; Valentini, Emiliana; Wolf, Florian; Filipponi, Federico; Karger, Dirk N; Nguyen Xuan, Alessandra; Mathieu, Jerome; Lavelle, Patrick; Eisenhauer, Nico; ",Global vulnerability of soil ecosystems to erosion,Landscape ecology,35,,823-842,2020,Springer Netherlands

"Kleemann, Janina; Schröter, Matthias; Bagstad, Kenneth J; Kuhlicke, Christian; Kastner, Thomas; Fridman, Dor; Schulp, Catharina JE; Wolff, Sarah; Martínez-López, Javier; Koellner, Thomas; ",Quantifying interregional flows of multiple ecosystem services–A case study for Germany,Global Environmental Change,61,,102051,2020,Pergamon

"Heintz-Buschart, Anna; Guerra, Carlos; Djukic, Ika; Cesarz, Simone; Chatzinotas, Antonis; Patoine, Guillaume; Sikorski, Johannes; Buscot, Francois; Küsel, Kirsten; Wegner, Carl-Eric; ",Microbial diversity-ecosystem function relationships across environmental gradients,Research Ideas and Outcomes,6,,e52217,2020,Pensoft Publishers

"Pereira, Henrique M; Rosa, Isabel MD; Martins, Inês S; Kim, HyeJin; Leadley, Paul; Popp, Alexander; van Vuuren, Detlef P; Hurtt, George; Anthoni, Peter; Arneth, Almut; ",Global trends in biodiversity and ecosystem services from 1900 to 2050,BioRxiv,,,2020.04. 14.031716,2020,Cold Spring Harbor Laboratory

"Delgado-Baquerizo, Manuel; Guerra, Carlos A; Cano-Díaz, Concha; Egidi, Eleonora; Wang, Jun-Tao; Eisenhauer, Nico; Singh, Brajesh K; Maestre, Fernando T; ",The proportion of soil-borne pathogens increases with warming at the global scale,Nature Climate Change,10,6,550-554,2020,Nature Publishing Group UK London

"Leberger, Roxanne; Geijzendorffer, Ilse R; Gaget, Elie; Gwelmami, Anis; Galewski, Thomas; Pereira, Henrique M; Guerra, Carlos A; ",Mediterranean wetland conservation in the context of climate and land cover change,Regional Environmental Change,20,,1-11,2020,Springer Berlin Heidelberg

"Morán‐Ordóñez, Alejandra; Duane, Andrea; Gil‐Tena, Assu; Cáceres, Miquel De; Aquilué, Núria; Guerra, Carlos A; Geijzendorffer, Ilse R; Fortin, Marie‐Josée; Brotons, Lluís; ",Future impact of climate extremes in the Mediterranean: soil erosion projections when fire and extreme rainfall meet,Land Degradation & Development,,,,2020,"John Wiley & Sons, Ltd"

"Kühl, Hjalmar S; Bowler, Diana E; Bösch, Lukas; Bruelheide, Helge; Dauber, Jens; Eichenberg, David; Eisenhauer, Nico; Fernández, Néstor; Guerra, Carlos A; Henle, Klaus; ",Effective biodiversity monitoring needs a culture of integration,One Earth,3,4,462-474,2020,Elsevier

"Eisenhauer, Nico; Buscot, François; Heintz‐Buschart, Anna; Jurburg, Stephanie D; Küsel, Kirsten; Sikorski, Johannes; Vogel, Hans‐Jörg; Guerra, Carlos A; ",The multidimensionality of soil macroecology,Global Ecology and Biogeography,,,,2020,

"Ferlian, Olga; Lintzel, Esther-Marie; Bruelheide, Helge; Guerra, Carlos A; Heklau, Heike; Jurburg, Stephanie; Kühn, Paul; Martinez-Medina, Ainhoa; Unsicker, Sybille B; Eisenhauer, Nico; ",Nutrient status not secondary metabolites drives herbivory and pathogen infestation across differently mycorrhized tree monocultures and mixtures,Basic and applied ecology,55,,110-123,2021,Urban & Fischer

"Guerra, Carlos A; Bardgett, Richard D; Caon, Lucrezia; Crowther, Thomas W; Delgado-Baquerizo, Manuel; Montanarella, Luca; Navarro, Laetitia M; Orgiazzi, Alberto; Singh, Brajesh K; Tedersoo, Leho; ","Tracking, targeting, and conserving soil biodiversity",Science,371,6526,239-241,2021,American Association for the Advancement of Science

"Guerra, Carlos A; Delgado‐Baquerizo, Manuel; Duarte, Eliana; Marigliano, Orlando; Görgen, Christiane; Maestre, Fernando T; Eisenhauer, Nico; ",Global projections of the soil microbiome in the Anthropocene,Global Ecology and Biogeography,,,,2021,

"Djukic, Ika; Kepfer-Rojas, Sebastian; Kappel Schmidt, Inger; Steenberg Larsen, Klaus; Beier, Claus; Berg, Bjorn; Verheyen, Kris; Trevathan-Tackett, Stacey; Macreadie, Peter; Bierbaumer, Michael; ",The TeaComposition Initiative: unleashing the power of international collaboration to understand litter decomposition,,,,,2021,Deakin University

"Phillips, Helen RP; Bach, Elizabeth M; Bartz, Marie LC; Bennett, Joanne M; Beugnon, Rémy; Briones, Maria JI; Brown, George G; Ferlian, Olga; Gongalsky, Konstantin B; Guerra, Carlos A; ","Global data on earthworm abundance, biomass, diversity and corresponding environmental properties",Scientific data,8,1,136,2021,Nature Publishing Group UK London

"Smith, Linnea C; Orgiazzi, Alberto; Eisenhauer, Nico; Cesarz, Simone; Lochner, Alfred; Jones, Arwyn; Bastida, Felipe; Patoine, Guillaume; Reitz, Thomas; Buscot, François; ",Large‐scale drivers of relationships between soil microbial properties and organic carbon across Europe,Global Ecology and Biogeography,30,10,2070-2083,2021,

"Guerra, Carlos António; Wall, Diana; Eisenhauer, Nico; ",Unearthing soil ecological observations: see supporting information as supplementary material,Soil Organisms,93,2,79-81,2021,

"Perino, Andrea; Pereira, Henrique M; Felipe‐Lucia, Maria; Kim, HyeJin; Kühl, Hjalmar S; Marselle, Melissa R; Meya, Jasper N; Meyer, Carsten; Navarro, Laetitia M; van Klink, Roel; ",Biodiversity post‐2020: Closing the gap between global targets and national‐level implementation,Conservation Letters,15,2,e12848,2022,

"Feng, Youzhi; Zhang, Jianwei; Berdugo, Miguel; Guirado, Emilio; Guerra, Carlos A; Egidi, Eleonora; Wang, Juntao; Singh, Brajesh K; Delgado‐Baquerizo, Manuel; ",Temperature thresholds drive the global distribution of soil fungal decomposers,Global Change Biology,28,8,2779-2789,2022,

"Siles, José A; Díaz‐López, Marta; Vera, Alfonso; Eisenhauer, Nico; Guerra, Carlos A; Smith, Linnea C; Buscot, François; Reitz, Thomas; Breitkreuz, Claudia; van den Hoogen, Johan; ",Priming effects in soils across Europe,Global Change Biology,28,6,2146-2157,2022,

"Potapov, Anton M; Guerra, Carlos A; Van den Hoogen, Johan; Babenko, Anatoly; Bellini, Bruno C; Berg, Matty P; Chown, Steven L; Deharveng, Louis; Kováč, Ľubomír; Kuznetsova, Natalia A; ",Globally invariant metabolism but density-diversity mismatch in springtails,Nature Communications,14,1,674,2023,Nature Publishing Group UK London

"Xu, Shan; Eisenhauer, Nico; Pellegrini, Adam FA; Wang, Junjian; Certini, Giacomo; Guerra, Carlos A; Lai, Derrick YF; ",Fire frequency and type regulate the response of soil carbon cycling and storage to fire across soil depths and ecosystems: A meta-analysis,Science of the Total Environment,825,,153921,2022,Elsevier

"Zeiss, Romy; Eisenhauer, Nico; Orgiazzi, Alberto; Rillig, Matthias; Buscot, François; Jones, Arwyn; Lehmann, Anika; Reitz, Thomas; Smith, Linnea; Guerra, Carlos A; ",Challenges of and opportunities for protecting European soil biodiversity,Conservation Biology,36,5,e13930,2022,

"Patoine, Guillaume; Eisenhauer, Nico; Cesarz, Simone; Phillips, Helen RP; Xu, Xiaofeng; Zhang, Lihua; Guerra, Carlos A; ",Drivers and trends of global soil microbial carbon over two decades,Nature Communications,13,1,4195,2022,Nature Publishing Group UK London

"Mathieu, Jérôme; Antunes, Ana C; Barot, Sébastien; Bonato Asato, Ana E; Bartz, Marie LC; Brown, George G; Calderon-Sanou, Irene; Decaëns, Thibaud; Fonte, Steven J; Ganault, Pierre; ",sOilFauna-a global synthesis effort on the drivers of soil macrofauna communities and functioning,,,,,2022,

"Potapov, Anton M; Sun, Xin; Briones, Maria JI; Brown, George G; Cameron, Erin K; Cortet, Jérôme; Eisenhauer, Nico; Fujii, Saori; Geisen, Stefan; Gongalsky, Konstantin B; ",Global monitoring of soil animal communities using a common methodology,bioRxiv,,,2022.01. 11.475793,2022,Cold Spring Harbor Laboratory

"Guerra, Carlos A; Berdugo, Miguel; Eldridge, David J; Eisenhauer, Nico; Singh, Brajesh K; Cui, Haiying; Abades, Sebastian; Alfaro, Fernando D; Bamigboye, Adebola R; Bastida, Felipe; ",Global hotspots for soil nature conservation,Nature,610,7933,693-698,2022,Nature Publishing Group UK London

"Jaureguiberry, Pedro; Titeux, Nicolas; Wiemers, Martin; Bowler, Diana E; Coscieme, Luca; Golden, Abigail S; Guerra, Carlos A; Jacob, Ute; Takahashi, Yasuo; Settele, Josef; ",The direct drivers of recent global anthropogenic biodiversity loss,Science advances,8,45,eabm9982,2022,American Association for the Advancement of Science

"Eldridge, David J; Guirado, Emilio; Reich, Peter B; Ochoa-Hueso, Raúl; Berdugo, Miguel; Sáez-Sandino, Tadeo; Blanco-Pastor, José L; Tedersoo, Leho; Plaza, César; Ding, Jingyi; ",The global contribution of soil mosses to ecosystem services,Nature Geoscience,16,5,430-438,2023,Nature Publishing Group UK London

"Eisenhauer, Nico; Angst, Gerrit; Asato, Ana EB; Beugnon, Rémy; Bönisch, Elisabeth; Cesarz, Simone; Dietrich, Peter; Jurburg, Stephanie D; Madaj, Anna-Maria; Reuben, Rine C; ",The heterogeneity–diversity–system performance nexus,National Science Review,10,7,nwad109,2023,Oxford University Press

"Siles, José A; Vera, Alfonso; Díaz-López, Marta; García, Carlos; van den Hoogen, Johan; Crowther, Thomas W; Eisenhauer, Nico; Guerra, Carlos; Jones, Arwyn; Orgiazzi, Alberto; ",Land-use-and climate-mediated variations in soil bacterial and fungal biomass across Europe and their driving factors,Geoderma,434,,116474,2023,Elsevier

"Eisenhauer, Nico; Bender, S Franz; Calderón‐Sanou, Irene; de Vries, Franciska T; Lembrechts, Jonas J; Thuiller, Wilfried; Wall, Diana H; Zeiss, Romy; Bahram, Mohammad; Beugnon, Rémy; ",Frontiers in soil ecology—Insights from the World Biodiversity Forum 2022,Journal of Sustainable Agriculture and Environment,1,4,245-261,2022,Wiley Online Library

"Cano-Díaz, Concha; Zeiss, Romy; Carvalho-Santos, Claudia; Carvalho, Rui P; Costa, Sofia R; Duarte, A Carolina; Fernandes, Paulo; Guerra, Carlos A; ",Mapping socio-environmental pressures to assess Portuguese soil vulnerability,Applied Geography,161,,103103,2023,Elsevier

"Gonzalez, Andrew; Vihervaara, Petteri; Balvanera, Patricia; Bates, Amanda E; Bayraktarov, Elisa; Bellingham, Peter J; Bruder, Andreas; Campbell, Jillian; Catchen, Michael D; Cavender-Bares, Jeannine; ",A global biodiversity observing system to unite monitoring and guide action,Nature ecology & evolution,7,12,1947-1952,2023,Nature Publishing Group UK London

"Duarte, A Carolina; Guerra, Carlos A; Cano-Díaz, Concha; Zeiss, Romy; Carvalho-Santos, Cláudia; Carvalho, Rui P; Costa, Sofia R; ",Effects of protected areas on soil nematode communities in forests of the North of Portugal,Biodiversity and Conservation,33,1,73-89,2024,Springer Netherlands Dordrecht

"Eisenhauer, Nico; Ochoa-Hueso, Raúl; Huang, Yuanyuan; Barry, Kathryn E; Gebler, Alban; Guerra, Carlos A; Hines, Jes; Jochum, Malte; Andraczek, Karl; Bucher, Solveig Franziska; ",Ecosystem consequences of invertebrate decline,Current Biology,33,20,4538-4547. e5,2023,Elsevier

"Zeiss, R; Briones, MJI; Mathieu, J; Lomba, A; Dahlke, J; Heptner, LF; Salako, G; Eisenhauer, N; Guerra, CA; ",Climate effects on the distribution and conservation of commonly observed European earthworms.,Conservation Biology: the Journal of the Society for Conservation Biology,,,,2023,

"Zeiss, Romy; Briones, Maria JI; Mathieu, Jérome; Lomba, Angela; Dahlke, Jessica; Heptner, Laura‐Fiona; Salako, Gabriel; Eisenhauer, Nico; Guerra, Carlos A; ",Effects of climate on the distribution and conservation of commonly observed European earthworms,Conservation Biology,38,2,e14187,2024,

"Delgado-Baquerizo, Manuel; Hu, Hang-Wei; Maestre, Fernando T; Guerra, Carlos A; Eisenhauer, Nico; Eldridge, David J; Zhu, Yong-Guan; Chen, Qing-Lin; Trivedi, Pankaj; Du, Shuai; ",The global distribution and environmental drivers of the soil antibiotic resistome,Microbiome,10,1,219,2022,Springer

"Hennecke, Justus; Bassi, Leonardo; Mommer, Liesje; Albracht, Cynthia; Bergmann, Joana; Eisenhauer, Nico; Guerra, Carlos A; Heintz‐Buschart, Anna; Kuyper, Thomas W; Lange, Markus; ",Responses of rhizosphere fungi to the root economics space in grassland monocultures of different age,New Phytologist,240,5,2035-2049,2023,Wiley Online Library

"Siles Martos, José Antonio; Vera Ayala, Alfonso; Díaz-López, Marta; García, Carlos; Hoogen, Johan van den; Crowther, Thomas Ward; Eisenhauer, Nico; Guerra, Carlos A; Jones, Arwyn; Orgiazzi, Alberto; ",Land-use-and climate-mediated variations in soil bacterial and fungal biomass across Europe and their driving factors,,,,,2023,Elsevier

"Chen, Zihao; Ni, Xiangyin; Patoine, Guillaume; Peng, Changhui; Yue, Kai; Yuan, Ji; Wu, Qiuxia; Eisenhauer, Nico; Guerra, Carlos A; Bol, Roland; ",Climate warming accelerates carbon release from foliar litter—A global synthesis,Global Change Biology,30,5,e17350,2024,Wiley Online Library

"Romero, Ferran; Labouyrie, Maeva; Orgiazzi, Alberto; Ballabio, Cristiano; Panagos, Panos; Jones, Arwyn; Tedersoo, Leho; Bahram, Mohammad; Guerra, Carlos A; Eisenhauer, Nico; ",Soil health increases primary productivity across Europe,bioRxiv,,,2023.10. 29.564603,2023,Cold Spring Harbor Laboratory

"Sünnemann, Marie; Beugnon, Remy; Breitkreuz, Claudia; Buscot, François; Cesarz, Simone; Jones, Arwyn; Lehmann, Anika; Lochner, Alfred; Orgiazzi, Alberto; Reitz, Thomas; ",Climate change and cropland management compromise soil integrity and multifunctionality,Communications Earth & Environment,4,1,394,2023,Nature Publishing Group UK London

"Maestre, Fernando T; Le Bagousse-Pinguet, Yoann; Delgado-Baquerizo, Manuel; Eldridge, David J; Saiz, Hugo; Berdugo, Miguel; Gozalo, Beatriz; Ochoa, Victoria; Guirado, Emilio; García-Gómez, Miguel; ",Grazing and ecosystem service delivery in global drylands,Science,378,6622,915-920,2022,American Association for the Advancement of Science

"Pereira, Henrique M; Martins, Inês S; Rosa, Isabel MD; Kim, HyeJin; Leadley, Paul; Popp, Alexander; van Vuuren, Detlef P; Hurtt, George; Quoss, Luise; Arneth, Almut; ",Global trends and scenarios for terrestrial biodiversity and ecosystem services from 1900 to 2050,Science,384,6694,458-465,2024,American Association for the Advancement of Science

"Rounsevell, Mark; Fischer, Markus; Torre-Marin Rando, Maria; Mader, André; ",The IPBES regional assessment report on biodiversity and ecosystem services for Europe and Central Asia,,,,,2018,Secretariat of the Intergovernmental Science-Policy Platform on Biodiversity …

